Season;Races;MRE;1st;2nd;3rd;4th;5th;6th;7th;8th;9th;10th;FL;SprintRaces;S1st;S2nd;S3rd;S4th;S5th;S6th;S7th;S8th;MaxPoints;MaxPointsConstructor
1950;7;4;8;6;4;3;2;;;;;;1;;;;;;;;;;36;
1951;8;4;8;6;4;3;2;;;;;;1;;;;;;;;;;36;
1952;8;4;8;6;4;3;2;;;;;;1;;;;;;;;;;36;
1953;9;4;8;6;4;3;2;;;;;;1;;;;;;;;;;36;
1954;9;5;8;6;4;3;2;;;;;;1;;;;;;;;;;45;
1955;7;5;8;6;4;3;2;;;;;;1;;;;;;;;;;45;
1956;8;5;8;6;4;3;2;;;;;;1;;;;;;;;;;45;
1957;8;5;8;6;4;3;2;;;;;;1;;;;;;;;;;45;
1958;11;6;8;6;4;3;2;;;;;;1;;;;;;;;;;54;165
1959;9;5;8;6;4;3;2;;;;;;1;;;;;;;;;;45;135
1960;10;6;8;6;4;3;2;1;;;;;0;;;;;;;;;;48;140
1961;8;5;9;6;4;3;2;1;;;;;0;;;;;;;;;;45;120
1962;9;5;9;6;4;3;2;1;;;;;0;;;;;;;;;;45;135
1963;10;6;9;6;4;3;2;1;;;;;0;;;;;;;;;;54;150
1964;10;6;9;6;4;3;2;1;;;;;0;;;;;;;;;;54;150
1965;10;6;9;6;4;3;2;1;;;;;0;;;;;;;;;;54;54
1966;9;5;9;6;4;3;2;1;;;;;0;;;;;;;;;;45;135
1967;11;9;9;6;4;3;2;1;;;;;0;;;;;;;;;;81;165
1968;12;10;9;6;4;3;2;1;;;;;0;;;;;;;;;;90;180
1969;11;9;9;6;4;3;2;1;;;;;0;;;;;;;;;;81;81
1970;13;11;9;6;4;3;2;1;;;;;0;;;;;;;;;;99;99
1971;11;9;9;6;4;3;2;1;;;;;0;;;;;;;;;;81;81
1972;12;10;9;6;4;3;2;1;;;;;0;;;;;;;;;;90;90
1973;15;13;9;6;4;3;2;1;;;;;0;;;;;;;;;;117;117
1974;15;13;9;6;4;3;2;1;;;;;0;;;;;;;;;;117;117
1975;14;12;9;6;4;3;2;1;;;;;0;;;;;;;;;;108;108
1976;16;14;9;6;4;3;2;1;;;;;0;;;;;;;;;;126;126
1977;17;14;9;6;4;3;2;1;;;;;0;;;;;;;;;;126;126
1978;16;14;9;6;4;3;2;1;;;;;0;;;;;;;;;;126;126
1979;15;8;9;6;4;3;2;1;;;;;0;;;;;;;;;;72;225
1980;14;8;9;6;4;3;2;1;;;;;0;;;;;;;;;;72;210
1981;15;11;9;6;4;3;2;1;;;;;0;;;;;;;;;;99;225
1982;16;11;9;6;4;3;2;1;;;;;0;;;;;;;;;;99;240
1983;15;11;9;6;4;3;2;1;;;;;0;;;;;;;;;;99;225
1984;16;11;9;6;4;3;2;1;;;;;0;;;;;;;;;;99;240
1985;16;11;9;6;4;3;2;1;;;;;0;;;;;;;;;;99;240
1986;16;11;9;6;4;3;2;1;;;;;0;;;;;;;;;;99;240
1987;16;11;9;6;4;3;2;1;;;;;0;;;;;;;;;;99;240
1988;16;11;9;6;4;3;2;1;;;;;0;;;;;;;;;;99;240
1989;16;11;9;6;4;3;2;1;;;;;0;;;;;;;;;;99;240
1990;16;11;9;6;4;3;2;1;;;;;0;;;;;;;;;;99;240
1991;16;16;10;6;4;3;2;1;;;;;0;;;;;;;;;;160;256
1992;16;16;10;6;4;3;2;1;;;;;0;;;;;;;;;;160;256
1993;16;16;10;6;4;3;2;1;;;;;0;;;;;;;;;;160;256
1994;16;16;10;6;4;3;2;1;;;;;0;;;;;;;;;;160;256
1995;17;17;10;6;4;3;2;1;;;;;0;;;;;;;;;;170;272
1996;16;16;10;6;4;3;2;1;;;;;0;;;;;;;;;;160;256
1997;17;17;10;6;4;3;2;1;;;;;0;;;;;;;;;;170;272
1998;16;16;10;6;4;3;2;1;;;;;0;;;;;;;;;;160;256
1999;16;16;10;6;4;3;2;1;;;;;0;;;;;;;;;;160;256
2000;17;17;10;6;4;3;2;1;;;;;0;;;;;;;;;;170;272
2001;17;17;10;6;4;3;2;1;;;;;0;;;;;;;;;;170;272
2002;17;17;10;6;4;3;2;1;;;;;0;;;;;;;;;;170;272
2003;16;16;10;8;6;5;4;3;2;1;;;0;;;;;;;;;;160;288
2004;18;18;10;8;6;5;4;3;2;1;;;0;;;;;;;;;;180;324
2005;19;19;10;8;6;5;4;3;2;1;;;0;;;;;;;;;;190;342
2006;18;18;10;8;6;5;4;3;2;1;;;0;;;;;;;;;;180;324
2007;17;17;10;8;6;5;4;3;2;1;;;0;;;;;;;;;;170;306
2008;18;18;10;8;6;5;4;3;2;1;;;0;;;;;;;;;;180;324
2009;17;17;10;8;6;5;4;3;2;1;;;0;;;;;;;;;;170;306
2010;19;19;25;18;15;12;10;8;6;4;2;1;0;;;;;;;;;;475;817
2011;19;19;25;18;15;12;10;8;6;4;2;1;0;;;;;;;;;;475;817
2012;20;20;25;18;15;12;10;8;6;4;2;1;0;;;;;;;;;;500;860
2013;19;19;25;18;15;12;10;8;6;4;2;1;0;;;;;;;;;;475;817
2014;19;19;25;18;15;12;10;8;6;4;2;1;0;;;;;;;;;;500;842
2015;19;19;25;18;15;12;10;8;6;4;2;1;0;;;;;;;;;;475;817
2016;21;21;25;18;15;12;10;8;6;4;2;1;0;;;;;;;;;;525;903
2017;20;20;25;18;15;12;10;8;6;4;2;1;0;;;;;;;;;;500;860
2018;21;21;25;18;15;12;10;8;6;4;2;1;0;;;;;;;;;;525;903
2019;21;21;25;18;15;12;10;8;6;4;2;1;1;;;;;;;;;;546;924
2020;17;17;25;18;15;12;10;8;6;4;2;1;1;;;;;;;;;;442;748
2021;22;22;25;18;15;12;10;8;6;4;2;1;1;3;3;2;1;;;;;;581;983
2022;22;22;25;18;15;12;10;8;6;4;2;1;1;3;8;7;6;5;4;3;2;1;596;1013
2023;22;22;25;18;15;12;10;8;6;4;2;1;1;6;8;7;6;5;4;3;2;1;620;1058
2024;24;24;25;18;15;12;10;8;6;4;2;1;1;6;8;7;6;5;4;3;2;1;672;1146
